overview,imdbId
when timid bank clerk stanley ipkiss discovers a magical mask containing the spirit of the norse god loki  his entire life changes  while wearing the mask  ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer tina carlyle  unfortunately  under the mask s influence  ipkiss also robs a bank  which angers junior crime lord dorian tyrell  whose goons get blamed for the heist ,0110475
dr  richard kimble  unjustly accused of murdering his wife  must find the real killer while being the target of a nationwide manhunt ,0106977
a young lion cub named simba can t wait to be king  but his uncle craves the title for himself and will stop at nothing to get it ,0110357
a man with a low iq has accomplished great things in his life and been present during significant historic events   in each case  far exceeding what anyone imagined he could do  yet  despite all the things he has attained  his one true love eludes him   forrest gump  is the story of a man who rose above his challenges  and who proved that determination  courage  and love are more important than ability ,0109830
a street wise kid  mark sway  sees the suicide of jerome clifford  a prominent louisiana lawyer  whose current client is barry  the blade  muldano  a mafia hit man  before jerome shoots himself  he tells mark where the body of a senator is buried  clifford shoots himself and mark is found at the scene  and both the fbi and the mafia quickly realize that mark probably knows more than he says ,0109446
cia analyst jack ryan is drawn into an illegal war fought by the us government against a colombian drug cartel ,0109444
,0118114
three friends discover their new flatmate dead but loaded with cash ,0111149
scott calvin is an ordinary man  who accidentally causes santa claus to fall from his roof on christmas eve and is knocked unconscious  when he and his young son finish santa s trip and deliveries  they go to the north pole  where scott learns he must become the new santa and convince those he loves that he is indeed  father christmas ,0111070
10 year old fiona is sent to live with her grandparents in a small fishing village in donegal  ireland  she soon learns the local legend that an ancestor of hers married a selkie   a seal who can turn into a human  years earlier  her baby brother was washed out to sea and never seen again  so when fiona spies a naked little boy on the abandoned isle of roan inish  she is compelled to investigate  ,0111112
quiz show is a 1994 american historical drama film which tells the true story of the twenty one quiz show scandal of the 1950s ,0110932
a burger loving hit man  his philosophical partner  a drug addled gangster s moll and a washed up boxer converge in this sprawling  comedic crime caper  their adventures unfurl in three stories that ingeniously trip back and forth in time ,0110912
four weddings and a funeral is a british comedy about a british man named charles and an american woman named carrie who go through numerous weddings before they determine if they are right for one another ,0109831
a deadly airborne virus finds its way into the usa and starts killing off people at an epidemic rate  col sam daniels  job is to stop the virus spreading from a small town  which must be quarantined  and to prevent an over reaction by the white house ,0114069
veteran secret service agent frank horrigan is a man haunted by his failure to save president kennedy while serving protection detail in dallas  thirty years later  a man calling himself  booth  threatens the life of the current president  forcing horrigan to come back to protection detail to confront the ghosts from his past ,0107206
danny is obsessed with a fictional movie character action hero jack slater  when a magical ticket transports him into jack s latest adventure  danny finds himself in a world where movie magic and reality collide  now it s up to danny to save the life of his hero and new friend ,0107362
when madame adelaide bonfamille leaves her fortune to duchess and her children    bonfamille s prize family of domesticated house cats    the butler plots to steal the money and kidnaps the heirs  leaving them out on a country road  all seems lost until the wily thomas o malley cat and his jazz playing alley cats come to the aristocats s rescue ,0065421
fbi trainee  clarice starling ventures into a maximum security asylum to pick the diseased brain of hannibal lecter  a psychiatrist turned homicidal cannibal  starling needs clues to help her capture a serial killer  but her faustian relationship with lecter soon leads to his escape  and now two deranged killers are on the loose ,0102926
the dark knight of gotham city begins his war on crime with his first major enemy being the clownishly homicidal joker  who has seized control of gotham s underworld ,0096895
wounded civil war soldier  john dunbar tries to commit suicide - and becomes a hero instead  as a reward  he s assigned to his dream post  a remote junction on the western frontier  and soon makes unlikely friends with the local sioux tribe ,0099348
nearly 10 years have passed since sarah connor was targeted for termination by a cyborg from the future  now her son  john  the future leader of the resistance  is the target for a newer  more deadly terminator  once again  the resistance has managed to send a protector back to attempt to save john and his mother sarah ,0103064
princess jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street urchin aladdin and the two fall in love  although she may only marry a prince  after being thrown in jail  aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil jafar hopes to rule the land ,0103639
gothamites sam and molly see their romance shattered when a street thug kills sam during a mugging  but love endures beyond the grave when a spectral sam learns that molly is in danger and he must find a way to warn her before she suffers his fate ,0099653
eight year old kevin mccallister makes the most of the situation after his family unwittingly leaves him behind when they go on christmas vacation  but when a pair of bungling burglars set their sights on kevin s house  the plucky kid stands ready to defend his territory  by planting booby traps galore  adorably mischievous kevin stands his ground as his frantic mother attempts to race home before ,0099785
the original 70 s tv family is now placed in the 1990 s  where they re even more square and out of place than ever ,0112572
a wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric dna  before opening day  he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors  however  the park is anything but amusing as the security systems go off line and the dinosaurs escape ,0107290
d artagnan travels to paris hoping to become a musketeer  one of the french king s elite bodyguards  only to discover that the corps has been disbanded by conniving cardinal richelieu  who secretly hopes to usurp the throne  fortunately  athos  porthos and aramis have refused to lay down their weapons and continue to protect their king  d artagnan joins with the rogues to expose richelieu s plot against the crown ,0108333
eddy and stuart share two thirds of a dormitory suite  due to bureaucratic error  a woman named alex is added to their room  at first  relations among the three are tense  soon  however  alex falls for eddy  and stuart lusts after alex ,0111418
a young boy who tries to set his dad up on a date after the death of his mother  he calls into a radio station to talk about his dad's loneliness which soon leads the dad into meeting a journalist annie who flies to seattle to write a story about the boy and his dad  yet annie ends up with more than just a story in this popular romantic comedy ,0108160
in 1930s australia  anglican clergyman anthony campion and his prim wife  estella  are asked to visit noted painter norman lindsay  whose planned contribution to an international art exhibit is considered blasphemous  while campion and lindsay debate  estella finds herself drawn to the three beautiful models sitting for the painter s current work  freethinking sheela  sensual pru and virginal giddy ,0111201
the true story of how businessman oskar schindler saved over a thousand jewish lives from the nazis while they worked as slaves in his factory during world war ii ,0108052
a rule bound head butler s world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post wwi britain  the possibility of romance and his master s cultivation of ties with the nazi cause challenge his carefully maintained veneer of servitude ,0107943
after a long voyage from scotland  pianist ada mcgrath and her young daughter  flora  are left with all their belongings  including a piano  on a new zealand beach  ada  who has been mute since childhood  has been sold into marriage to a local man named alisdair stewart  making little attempt to warm up to alisdair  ada soon becomes intrigued by his maori friendly acquaintance  george baines  leading to tense  life altering conflicts ,0107822
no one would take his case until one man was willing to take on the system  two competing lawyers join forces to sue a prestigious law firm for aids discrimination  as their unlikely friendship develops their courage overcomes the prejudice and corruption of their powerful adversaries ,0107818
loving but irresponsible dad daniel hillard  estranged from his exasperated spouse  is crushed by a court order allowing only weekly visits with his kids  when daniel learns his ex needs a housekeeper  he gets the job    disguised as an english nanny  soon he becomes not only his children s best pal but the kind of parent he should have been from the start ,0107614
in this shakespearean farce  hero and her groom to be  claudio  team up with claudio s commanding officer  don pedro  the week before their wedding to hatch a matchmaking scheme  their targets are sharp witted duo benedick and beatrice    a tough task indeed  considering their corresponding distaste for love and each other  meanwhile  meddling don john plots to ruin the wedding ,0107616
tired of scaring humans every october 31 with the same old bag of tricks  jack skellington  the spindly king of halloween town  kidnaps santa claus and plans to deliver shrunken heads and other ghoulish gifts to children on christmas morning  but as christmas approaches  jack s rag doll girlfriend  sally  tries to foil his misguided plans ,0107688
based on mary shelley s novel   frankenstein  tells the story of victor frankenstein  a promising young doctor who  devastated by the death of his mother during childbirth  becomes obsessed with bringing the dead back to life  his experiments lead to the creation of a monster  which frankenstein has put together with the remains of corpses  it s not long before frankenstein regrets his actions ,0109836
a love story built on a misunderstanding  a transit worker pulls commuter peter off the tracks after he s mugged  but while he s in a coma  his family mistakenly thinks she s peter s fiancee  and she doesn t correct them  things get more complicated when she falls for his brother  who s not quite sure that she s who she claims to be ,0114924
an epic tale of three brothers and their father living in the remote wilderness of 1900s usa and how their lives are affected by nature  history  war  and love ,0110322
new york detective john mcclane is back and kicking bad guy butt in the third installment of this action packed series  which finds him teaming with civilian zeus carver to prevent the loss of innocent lives  mcclane thought he d seen it all  until a genius named simon engages mcclane  his new  partner     and his beloved city    in a deadly game that demands their concentration ,0112864
on a us nuclear missile sub  a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so ,0112740
the dark knight of gotham city confronts a dastardly duo  two face and the riddler  formerly district attorney harvey dent  two face believes batman caused the courtroom accident which left him disfigured on one side  and edward nygma  computer genius and former employee of millionaire bruce wayne  is out to get the philanthropist; as the riddler  former circus acrobat dick grayson  his family killed by two face  becomes wayne s ward and batman s new partner robin ,0112462
the true story of technical troubles that scuttle the apollo 13 lunar mission in 1971  risking the lives of astronaut jim lovell and his crew  with the failed journey turning into a thrilling saga of heroism  drifting more than 200 000 miles from earth  the astronauts work furiously with the ground crew to avert tragedy ,0112384
deals with the lives of the three irish catholic mcmullen brothers from long island  new york  over three months  as they grapple with basic ideas and values -- love  sex  marriage  religion and family -- in the 1990s  directed  written  produced by and starring edward burns ,0112585
enraged at the slaughter of murron  his new bride and childhood love  scottish warrior william wallace slays a platoon of the local english lord s soldiers  this leads the village to revolt and  eventually  the entire country to rise up against english rule ,0112573
the timeless tale of king arthur and the legend of camelot are retold in this passionate period drama  arthur is reluctant to hand the crown to lancelot  and guinevere is torn between her loyalty to her husband and her growing love for his rival  but lancelot must balance his loyalty to the throne with the rewards of true love ,0113071
nicholas hytner's much awarded 1994 drama  based on alan bennett s west end play  george iii s erratic behaviour leads to a plot in parliament to have him declared insane and removed from the throne ,0110428
when lenny and his wife  amanda  adopt a baby  lenny realizes that his son is a genius and becomes obsessed with finding the boy s biological mother in hopes that she will be brilliant too  but when he learns that max s mother is linda ash  a kindhearted prostitute and porn star  lenny is determined to reform her immoral lifestyle  a greek chorus chimes in to relate the plot to greek mythology in this quirky comedy ,0113819
held in an l a  interrogation room  verbal kint attempts to convince the feds that a mythic crime lord  keyser soze  not only exists  but was also responsible for drawing him and his four partners into a multi million dollar heist that ended with an explosion in san pedro harbor - leaving few survivors  verbal lures his interrogators with an incredible story of the crime lord s almost supernatural prowess ,0114814
two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the  seven deadly sins  in this dark and haunting film that takes viewers from the tortured remains of one victim to the next  the seasoned det  sommerset researches each sin in an effort to get inside the killer s mind  while his novice partner  mills  scoffs at his efforts to unravel the case ,0114369
shallow  rich and socially successful cher is at the top of her beverly hills high school s pecking scale  seeing herself as a matchmaker  cher first coaxes two teachers into dating each other  emboldened by her success  she decides to give hopelessly klutzy new student tai a makeover  when tai becomes more popular than she is  cher realizes that her disapproving ex stepbrother was right about how misguided she was    and falls for him ,0112697
rich mr  dashwood dies  leaving his second wife and her daughters poor by the rules of inheritance  two daughters are the titular opposites ,0114388
james bond must unmask the mysterious head of the janus syndicate and prevent the leader from utilizing the goldeneye weapons system to inflict devastating revenge on britain ,0113189
in 1965  passionate musician glenn holland takes a day job as a high school music teacher  convinced it s just a small obstacle on the road to his true calling  writing a historic opus  as the decades roll by with the composition unwritten but generations of students inspired through his teaching  holland must redefine his life s purpose ,0113862
angela bennett is a freelance software engineer who lives in a world of computer technology  when a cyber friend asks bennett to debug a new game  she inadvertently becomes involved in a conspiracy that will soon turn her life upside down  while on vacation in mexico  her purse is stolen  she soon finds that people and events may not be what they seem as she becomes the target of an assassination  her vacation is ruined   she gets a new passport at the u s  embassy in mexico but it has the wrong name  ruth marx  when she returns to the u s  to sort things out  she discovers that ruth marx has an unsavory past and a lengthy  police record  to make matters worse  another person has assumed her real identity    ,0113957
when the young orphan boy james spills a magic bag of crocodile tongues  he finds himself in possession of a giant peach that flies him away to strange lands ,0116683
a computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully  which threatens both his career and his personal life ,0109635
a vampire relates his epic life story of love  betrayal  loneliness  and dark hunger to an over curious reporter ,0110148
convenience and video store clerks dante and randal are sharp witted  potty mouthed and bored out of their minds  so in between needling customers  the counter jockeys play hockey on the roof  visit a funeral home and deal with their love lives ,0109445
 circle of friends  is set in 1950 s ireland  the movie focuses on benny hogan and her best friend  eve malone  the story centers around benny and eve as they enter student life at university college  dublin  here benny and eve reunite with their childhood friend  the ice cool nan mahon  the  college belle   they also encounter the handsome and charming jack foley  whom benny quickly falls for ,0112679
the mostly true story of the legendary  worst director of all time   who  with the help of his strange friends  filmed countless b movies without ever becoming famous or successful ,0109707
in a futuristic world where the polar ice caps have melted and made earth a liquid planet  a beautiful barmaid rescues a mutant seafarer from a floating island prison  they escape  along with her young charge  enola  and sail off aboard his ship  but the trio soon becomes the target of a menacing pirate who covets the map to  dryland  - which is tattooed on enola s back ,0114898
in hot water with the mob over an unpaid debt  a con man poses as a family friend in an affluent pennsylvania suburb ,0110066
tita is passionately in love with pedro  but her controlling mother forbids her from marrying him  when pedro marries her sister  tita throws herself into her cooking and discovers she can transfer her emotions through the food she prepares  infecting all who eat it with her intense heartbreak ,0103994
when he finds out his longtime girlfriend is pregnant  a commitment phobe realizes he might have to change his lifestyle for better or much  much worse ,0113986
with their father away as a chaplain in the civil war  jo  meg  beth and amy grow up with their mother in somewhat reduced circumstances  they are a close family who inevitably have their squabbles and tragedies  but the bond holds even when  later  male friends start to become a part of the household ,0110367
a tale which follows the comedic and eventful journeys of two fish  the fretful marlin and his young son nemo  who are separated from each other in the great barrier reef when nemo is unexpectedly taken from his home and thrust into a fish tank in a dentist s office overlooking sydney harbor  buoyed by the companionship of a friendly but forgetful fish named dory  the overly cautious marlin embarks on a dangerous trek and finds himself the unlikely hero of an epic journey to rescue his son ,0266543
why do 11 000 people die in america each year at the hands of gun violence  talking heads yelling from every tv camera blame everything from satan to video games  but are we that much different from many other countries  what sets us apart  how have we become both the master and victim of such enormous amounts of violence  this is not a film about gun control  it is a film about the fearful heart and soul of the united states  and the 280 million americans lucky enough to have the right to a constitutionally protected uzi  from a look at the columbine high school security camera tapes to the home of oscar winning nra president charlton heston  from a young man who makes homemade napalm with the anarchist s cookbook to the murder of a six year old girl by another six year old  bowling for columbine is a journey through america  through our past  hoping to discover why our pursuit of happiness is so riddled with violence ,0310793
joel barish  heartbroken that his girlfriend underwent a procedure to erase him from her memory  decides to do the same  however  as he watches his memories of her fade away  he realises that he still loves her  and may be too late to correct his mistake ,0338013
after being bitten by a genetically altered spider  nerdy high school student peter parker is endowed with amazing powers ,0145487
follow the adventures of belle  a bright young woman who finds herself in the castle of a prince who s been turned into a mysterious beast  with the help of the castle s enchanted staff  belle soon learns the most important lesson of all    that true beauty comes from within ,0101414
modern stone age family the flintstones hit the big screen in this live action version of the classic cartoon  fred helps barney adopt a child  barney sees an opportunity to repay him when slate mining tests its employees to find a new executive  but no good deed goes unpunished ,0109813
aragorn is revealed as the heir to the ancient kings as he  gandalf and the other members of the broken fellowship struggle to save gondor from sauron s forces  meanwhile  frodo and sam bring the ring closer to the heart of mordor  the dark lord s realm ,0167260
spike lee s take on the  son of sam  murders in new york city during the summer of 1977 centering on the residents of an italian american south bronx neighborhood who live in fear and distrust of one another ,0162677
michael moore s view on what happened to the united states after september 11; and how the bush administration allegedly used the tragic event to push forward its agenda for unjust wars in afghanistan and iraq ,0361596
framed in the 1940s for the double murder of his wife and her lover  upstanding banker andy dufresne begins a new life at the shawshank prison  where he puts his accounting skills to work for an amoral warden  during his long stretch in prison  dufresne comes to be admired by the other inmates    including an older prisoner named red    for his integrity and unquenchable sense of hope ,0111161
peter parker is going through a major identity crisis  burned out from being spider man  he decides to shelve his superhero alter ego  which leaves the city suffering in the wake of carnage left by the evil doc ock  in the meantime  parker still can t act on his feelings for mary jane watson  a girl he s loved since childhood ,0316654
major benson winifred payne is being discharged from the marines  payne is a killin  machine  but the wars of the world are no longer fought on the battlefield  a career marine  he has no idea what to do as a civilian  so his commander finds him a job   commanding officer of a local school s jrotc program  a bunch of ragtag losers with no hope ,0110443
is it fall yet  continues the series  running plot from where it left off at the end of season four  in the final episode of season four   dye  dye  my darling     daria morgendorffer kisses tom sloane  the boyfriend of daria s best friend  jane lane  the episode ends with the two friends  future uncertain and tom and daria s relationship shaky ,0250440
based on the true story of juliet hulme and pauline parker  two close friends who share a love of fantasy and literature  who conspire to kill pauline s mother when she tries to end the girls  intense and obsessive relationship ,0110005
in a world in which great britain has become a fascist state  a masked vigilante known only as  v  conducts guerrilla warfare against the oppressive british government  when  v  rescues a young woman from the secret police  he finds in her an ally with whom he can continue his fight to free the people of britain ,0434409
a nine year old boy gets a plastic indian and a cupboard for his birthday and finds himself involved in adventure when the indian comes to life and befriends him ,0113419
there were five marines and one navy corpsman photographed raising the u s  flag on mt  suribachi by joe rosenthal on february 23  1945  this is the story of three of the six surviving servicemen - john  doc  bradley  pvt  rene gagnon and pvt  ira hayes  who fought in the battle to take iwo jima from the japanese ,0418689
the hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control  a look into addiction and how it overcomes the mind and body ,0180093
when a rare phenomenon gives police officer john sullivan the chance to speak to his father  30 years in the past  he takes the opportunity to prevent his dad s tragic death   after his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time ,0186151
after being hypnotized by his sister in law  tom witzky begins seeing haunting visions of a girl s ghost and a mystery begins to unfold around her ,0164181
a ticking time bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy  their concept catches on  with underground  fight clubs  forming in every town  until an eccentric gets in the way and ignites an out of control spiral toward oblivion ,0137523
a group of young gunmen  led by billy the kid  become deputies to avenge the murder of the rancher who became their benefactor  but when billy takes their authority too far  they become the hunted ,0096487
amidst her own personality crisis  southern housewife evelyn couch meets ninny  an outgoing old woman who tells her the story of idgie threadgoode and ruth jamison  two young women who experienced hardships and love in whistle stop  alabama in the 1920s ,0101921
84 years later  a 101 year old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert  brock lovett  lewis bodine  bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912  on a ship called titanic when young rose boards the departing ship with the upper class passengers and her mother  ruth dewitt bukater  and her fiance  caledon hockley  meanwhile  a drifter and artist named jack dawson and his best friend fabrizio de rossi win third class tickets to the ship in a game  and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th  1912 at 2 20 in the morning ,0120338
the hallucinogenic misadventures of sportswriter raoul duke and his samoan lawyer  dr  gonzo  on a three day romp from los angeles to las vegas  motoring across the mojave desert on the way to sin city  duke and his purple haze passenger ingest a cornucopia of drugs ranging from acid to ether ,0120669
after losing their academic posts at a prestigious university  a team of parapsychologists goes into business as proton pack toting  ghostbusters  who exterminate ghouls  hobgoblins and supernatural pests of all stripes  an ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator ,0087332
the young harold lives in his own world of suicide attempts and funeral visits to avoid the misery of his current family and home environment  harold meets an 80 year old woman named maude who also lives in her own world yet one in which she is having the time of her life  when the two opposites meet they realize that their differences don't matter and they become best friends and love each other ,0067185
as u s  troops storm the beaches of normandy  three brothers lie dead on the battlefield  with a fourth trapped behind enemy lines  ranger captain john miller and seven men are tasked with penetrating german held territory and bringing the boy home ,0120815
as rebel leaders map their strategy for an all out attack on the emperor s newer  bigger death star  han solo remains frozen in the cavernous desert fortress of jabba the hutt  the most loathsome outlaw in the universe  who is also keeping princess leia as a slave girl  now a master of the force  luke skywalker rescues his friends  but he cannot become a true jedi knight until he wages his own crucial battle against darth vader  who has sworn to win luke over to the dark side of the force ,0086190
a psychological thriller about an eight year old boy named cole sear who believes he can see into the world of the dead  a child psychologist named malcolm crowe comes to cole to help him deal with his problem  learning that he really can see ghosts of dead people ,0167404
a lazy law school grad adopts a kid to impress his girlfriend  but everything doesn t go as planned and he becomes the unlikely foster father ,0142342
corky  a tough female ex con and her lover violet concoct a scheme to steal millions of stashed mob money and pin the blame on violet s crooked boyfriend caeser ,0115736
the lives of many individuals connected by the desire for happiness  often from sources usually considered dark or evil ,0147612
dr  louis creed s family moves into the country house of their dreams and discover a pet cemetery at the back of their property  the cursed burial ground deep in the woods brings the dead back to life    with  minor  problems  at first  only the family s cat makes the return trip  but an accident forces a heartbroken father to contemplate the unthinkable ,0098084
renton  deeply immersed in the edinburgh drug scene  tries to clean up and get out  despite the allure of the drugs and influence of friends ,0117951
men in black follows the exploits of agents kay and jay  members of a top secret organization established to monitor and police alien activity on earth  the two men in black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on earth to assassinate two ambassadors from opposing galaxies  in order to prevent worlds from colliding  the mib must track down the terrorist and prevent the destruction of earth  it s just another typical day for the men in black ,0119654
lester burnham  a depressed suburban father in a mid life crisis  decides to turn his hectic life around after developing an infatuation with his daughter s attractive friend ,0169547
tv weatherman bill harding is trying to get his tornado hunter wife  jo  to sign divorce papers so he can marry his girlfriend melissa  but mother nature  in the form of a series of intense storms sweeping across oklahoma  has other plans  soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados ,0117998
high school misfits stoney and dave discover a long frozen primeval man from the past in their back yard  but the thawed out link  as the boys have named him  quickly becomes a wild card in the teens  already zany southern california lives  after a shave and some new clothes  link s presence at school makes the daily drudgery a lot more interesting ,0104187
in this enchantingly cracked fairy tale  the beautiful princess buttercup and the dashing westley must overcome staggering odds to find happiness amid six fingered swordsmen  murderous princes  sicilians and rodents of unusual size  but even death can t stop these true lovebirds from triumphing ,0093779
batman raises the stakes in his war on crime  with the help of lt  jim gordon and district attorney harvey dent  batman sets out to dismantle the remaining criminal organizations that plague the streets  the partnership proves to be effective  but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker ,0468569
the story of the battle of iwo jima between the united states and imperial japan during world war ii  as told from the perspective of the japanese who fought it ,0498380
